,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
219,西安博彦信息技术,股份制企业,北京,1000-9999人,数据分析师,校招,本科,校园,337.13635,220.0
220,龙湖集团,民营,北京,500-999人,数据分析,校招,本科,校园,337.06516,221.0
221,中国联通,国企,南宁,10000人以上,通讯诈骗数据分析,校招,,校园,336.99402,222.0
222,中国联通,国企,嘉兴-,10000人以上,数据分析支撑,校招,本科,校园,336.99402,223.0
223,中国联通,国企,金华-,10000人以上,数据分析,校招,本科,校园,336.99402,224.0
224,中国联通,国企,南宁,10000人以上,大数据分析师,校招,本科,校园,336.99402,225.0
225,中国联通,国企,北京,10000人以上,数据分析岗,校招,硕士,校园,336.92288,226.0
226,中国联通,国企,北京,10000人以上,宽带网络大数据分析,校招,硕士,校园,336.92288,227.0
227,中国联通,国企,北京,10000人以上,规划大数据分析,校招,硕士,校园,336.92288,228.0
228,中国联通,国企,北京,10000人以上,宽带接入网策略研究与大数据分析,校招,硕士,校园,336.92288,229.0
229,中国联通,国企,成都,10000人以上,数据建模开发,校招,,校园,336.92288,230.0
230,中国联通,国企,北京,10000人以上,数据挖掘、数据分析岗,校招,硕士,校园,336.85175,231.0
231,中国联通,国企,北京,10000人以上,数据建模开发,校招,硕士,校园,336.85175,232.0
232,中国联通,国企,黄冈,10000人以上,大数据分析,校招,本科,校园,336.78064,233.0
233,平安银行,股份制企业,深圳,1000-9999人,数据分析岗,校招,本科,校园,336.4963,234.0
234,平安银行,股份制企业,上海,1000-9999人,大数据数据工程师,校招,本科,校园,336.4963,235.0
235,广州多益网络股份有限公司,民营,广州,1000-9999人,数据挖掘工程师,15K-25K,本科,全职,336.32,236.0
236,中移物联网有限公司,其它,重庆,10000人以上,软件测试开发工程师--数字化产品部,10K-15K,本科,全职,334.8,237.0
237,深圳市腾讯计算机系统有限公司,民营,深圳,10000人以上,TEG13-安全策略后台开发工程师（深圳）,薪资面议,不限,全职,334.0,238.0
238,北京金色华勤数据服务有限公司,民营,北京-海淀区,100-499人,运维开发工程师（2年以上python开发经验）,25K-35K,本科,全职,331.924,239.0
239,杭州同富云商科技有限公司,民营,杭州,100-499人,市场调研员,8K-10K,本科,全职,329.15094,240.0
240,苏州达内信息科技有限公司,上市公司,苏州,1000-9999人,数据分析运营助理,6K-8K,大专,全职,328.0,241.0
241,热风投资有限公司,民营,上海,10000人以上,BI工程师/数据工程师,10K-15K,本科,全职,326.85602,242.0
242,TCL通讯科技控股有限公司,股份制企业,惠州-惠城区,10000人以上,JAVA后台开发工程师,6K-10K,本科,全职,326.24,243.0
243,中国联合网络通信有限公司上海市分公司（上海联通）,国企,上海-长宁区,1000-9999人,数据挖掘工程师,10K-15K,本科,全职,324.0,244.0
244,京东集团,外商独资,北京,20-99人,大数据工程师,30K-50K,本科,全职,324.0,245.0
245,平安科技（深圳）有限公司,股份制企业,深圳,1000-9999人,11124Z-数据分析工程师-云技术服务,薪资面议,本科,全职,324.0,246.0
246,北京字节跳动科技有限公司,民营,上海,10000人以上,广告数据平台研发负责人,30K-60K,本科,全职,324.0,247.0
247,福建网龙计算机网络信息技术有限公司,上市公司,福州,1000-9999人,开发支持主任,薪资面议,本科,全职,324.0,248.0
248,北京恒昌利通投资管理有限公司,民营,北京,500-999人,数据分析专家,薪资面议,本科,全职,324.0,249.0
249,平安科技（深圳）有限公司,股份制企业,上海,1000-9999人,11124T-数据分析师,薪资面议,本科,全职,324.0,250.0
250,东华软件股份公司,上市公司,沈阳,1000-9999人,大数据开发工程师,薪资面议,本科,全职,323.18,251.0
251,深圳市长亮科技股份有限公司,上市公司,南京,1000-9999人,数据库开发工程师,8K-16K,本科,全职,322.736,252.0
252,马上消费金融股份有限公司,股份制企业,重庆-渝北区,1000-9999人,反欺诈数据分析师,10K-20K,本科,全职,322.508,253.0
253,中体彩科技发展有限公司,国企,北京,500-999人,大数据架构师,30K-45K,本科,全职,320.8,254.0
254,孩子王儿童用品股份有限公司,民营,南京,10000人以上,结算分析,6K-8K,本科,全职,320.64,255.0
255,深圳市源极光科技有限公司,民营,北京,20-99人,数据分析师（北京）,10K-20K,本科,全职,320.0,256.0
256,富士康科技集团,外商独资,深圳,10000人以上,数据分析算法经理/工程师,15K-30K,本科,全职,319.904,257.0
257,天云融创数据科技(北京)有限公司,民营,北京,20-99人,大数据开发工程师,15K-20K,本科,全职,319.892,258.0
258,深圳市德科数据科技有限公司,民营,深圳,500-999人,大数据开发,10K-15K,大专,全职,319.792,259.0
259,上海安硕信息技术股份有限公司,上市公司,上海,10000人以上,BI开发工程师,7K-14K,本科,全职,319.744,260.0
260,金蝶软件（中国）有限公司,上市公司,深圳,1000-9999人,Java开发工程师（大数据服务）KIT-3,10K-20K,本科,全职,319.724,261.0
261,渣打环球商业服务有限公司,外商独资,天津,1000-9999人,大数据架构工程师,30K-50K,本科,全职,318.528,262.0
262,新奥集团股份有限公司,民营,北京,10000人以上,算法和数据分析高级工程师,20K-30K,本科,全职,318.0,263.0
263,Siemens Ltd. China/西门子(中国)有限公司,外商独资,北京,10000人以上,卓越工程师项目培训生_数据分析服务工程师,薪资面议,本科,全职,318.0,264.0
264,甘肃冀城土先生农业有限公司,民营,兰州,20-99人,销售部经理,6K-8K,大专,全职,317.69583,265.0
265,中移(苏州)软件技术有限公司,国企,苏州,10000人以上,云安全管理平台开发工程师(J10348),薪资面议,本科,全职,317.332,266.0
266,瑞庭网络技术(上海)有限公司北京分公司,上市公司,北京,1000-9999人,58诚聘数据运营,6K-8K,本科,全职,317.032,267.0
